0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,5.7477
12,4.2972
13,3.2184
14,2.416
15,1.8193
16,1.3756
17,1.0455
18,0.80008
19,0.61755
20,0.48182
21,0.38089
22,0.30584
23,0.25004
24,0.20856
25,0.17773
26,0.15482
27,0.1378
28,0.12516
29,0.11577
30,0.10881
31,0.10366
32,0.099839
33,0.097019
34,0.09494
35,0.093413
36,0.092296
37,0.091484
38,0.090899
39,0.090482
40,0.090191
41,0.089994
42,0.089865
43,0.089789
44,0.089751
45,0.089741
46,0.089753
47,0.08978
48,0.089819
49,0.089867
50,0.089921
51,0.089981
52,0.090044
53,0.090109
54,0.090177
55,0.090245
56,0.090316
57,0.090386
58,0.090458
59,0.09053
60,0.090602
61,0.090675
62,0.090747
63,0.09082
64,0.090893
65,0.090966
66,0.091039
67,0.091113
68,0.091186
69,0.091259
70,0.091332
71,0.091405
72,0.091479
73,0.091552
74,0.091625
75,0.091698
76,0.091772
77,0.091845
78,0.091918
79,0.091991
80,0.092065
81,0.092138
82,0.092211
83,0.092284
84,0.092358
85,0.092431
86,0.092504
87,0.092577
88,0.092651
89,0.092724
90,0.092797
91,0.09287
92,0.092944
93,0.093017
94,0.09309
95,0.093163
96,0.093237
97,0.09331
98,0.093383
99,0.093457
100,0.09353
101,0.093603
102,0.093676
103,0.09375
104,0.093823
105,0.093896
106,0.093969
107,0.094043
108,0.094116
109,0.094189
110,0.094262
